Date,Open,High,Low,Close,Volume,Daily Return,7-Day Moving Average,30-Day Moving Average,Rolling Volatility (30d),Close_Log,Year,Month,Day,Day_of_Week,Number_of_Days,Price Change,High-Low Spread,Intraday Volatility %,Lag_1_Daily_Return,RSI_14,MACD,Volume_Change,Volume_Price_Ratio,Close_trend,Close_seasonal,Close_resid,SP500_Close,VIX,Return_lag_1,Volume_lag_1,Return_lag_3,Volume_lag_3,Return_lag_5,Volume_lag_5,Return_lag_7,Volume_lag_7,Volatility_diff,Volume_diff,SMA_7_Squared,SMA_30_Squared,RSI_Squared,MACD_Squared,Volatility_Squared,RSI_x_Volume,MACD_x_Price,SMA30_x_Volatility,VolumePriceRatio_x_Return,SP500_Return,SP500_Lag1,VIX_Lag1,Bollinger_Width
2010-01-04,136.28,136.61,133.14,133.9,7595995,-0.46089800773119194,137.29142857142858,134.26233333333334,1.912612982412241,4.897093252697127,2010,1,4,0,784,-2.3799999999999955,3.4700000000000273,2.546228353390099,-1.4433291816250304,49.52271859488354,2.047087619440049,0.6797988574441167,56728.86482449589,134.6726110254864,-0.38977226234538287,-0.3828387631409953,1116.56005859375,21.68000030517578,-1.4433291816250304,4521967.0,0.07178235589690996,8399158.0,-0.3382755146106198,5128777.0,0.7229460049702707,8204743.0,0.002718092444807585,3074028.0,18848.936359183677,18026.374152111115,2452.499657028024,4.190567721664727,3.658088420491848,376174322.8331424,274.10503224302255,256.79188178229316,-26146.220778462248,,,,7.650451929648966
2010-01-05,133.25,135.48,131.81,134.69,8851066,0.5899925317401022,136.68428571428572,134.4523333333333,1.8826907849813115,4.902975841610724,2010,1,5,1,785,1.4399999999999977,3.6699999999999875,2.7542213883677205,-0.46089800773119194,56.836018174308144,1.857991591584124,0.1652279918562347,65714.35147375455,133.68703708141845,0.6892296650124076,0.31373325356912574,1132.6600341796875,20.049999237060547,-0.46089800773119194,7595995.0,-2.094541281113249,6911762.0,0.606629594858088,8763416.0,3.8803738317757075,9544690.0,-0.02992219743092961,1255071.0,18682.59396122449,18077.429938777772,3230.3329619102856,3.4521327543973066,3.5445245918535466,503059348.0380009,250.25288747046568,253.13216898590224,38770.97659765936,0.014419265190458885,,21.68000030517578,7.530763139925227
2010-01-06,134.63,134.73,131.65,132.25,7178209,-1.8115673026950718,135.79571428571427,134.53866666666667,1.9152190516422671,4.8846940707384086,2010,1,6,2,786,-2.3799999999999955,3.079999999999984,2.287751615538873,0.5899925317401022,53.96078431372551,1.4940218650122858,-0.18900062433157772,54277.57277882798,132.7224329752405,0.36591377064517594,-0.8383467458856728,1135.7099609375,19.59000015258789,0.5899925317401022,8851066.0,-1.4433291816250304,4521967.0,0.07178235589690996,8399158.0,-0.3382755146106198,5128777.0,0.03252826666095565,-1672857.0,18440.476018367342,18100.652828444447,2911.7662437524054,2.2321013331347888,3.668064015773505,387341787.6078433,197.5843916478748,257.6710175825484,-98327.47611577685,0.0026927115513715183,0.014419265190458885,20.049999237060547,7.660876206569071
2010-01-07,131.96,132.32,128.8,130.0,11014197,-1.7013232514177745,134.46571428571428,134.43866666666665,1.882200785622279,4.867534450455582,2010,1,7,3,787,-1.960000000000008,3.519999999999982,2.667474992421932,-1.8115673026950718,53.168469860896415,1.0123473286381852,0.5343934677856272,84724.5923076923,131.83042802610277,0.40640738786184205,-2.2368354139645987,1136.27001953125,19.68000030517578,-1.8115673026950718,7178209.0,-0.46089800773119194,7595995.0,-2.094541281113249,6911762.0,0.606629594858088,8763416.0,-0.03301826601998803,3835988.0,18081.028318367345,18073.755095111108,2826.8861873490505,1.0248471138008697,3.5426797973971245,585608001.2364757,131.60515272296408,253.04056401801168,-144143.91885996846,0.0004931352308363834,0.0026927115513715183,19.59000015258789,7.528803142489096
2010-01-08,130.7,133.68,129.03,133.52,9826568,2.707692307692322,133.62428571428572,134.458,1.9488246504738407,4.89425127935358,2010,1,8,4,788,2.8200000000000216,4.650000000000006,3.5577658760520325,-1.7013232514177745,61.82468694096604,0.90422799297599,-0.10782710714180976,73596.22528460155,130.9973044373263,1.6370265946783578,0.8856689679953433,1140.52001953125,19.270000457763672,-1.7013232514177745,11014197.0,0.5899925317401022,8851066.0,-1.4433291816250304,4521967.0,0.07178235589690996,8399158.0,0.06662386485156158,-1187629.0,17855.44973265306,18078.953763999998,3822.2919153484568,0.817628263281387,3.7979175182944873,607524490.3041148,120.7325216221542,262.03506485341165,199275.93307830679,0.0037403081371039093,0.0004931352308363834,19.68000030517578,7.795298601895354
2010-01-11,132.73,132.8,129.21,130.31,8777511,-2.4041342121030596,132.74142857142857,134.334,1.9923287757320671,4.869916227156815,2010,1,11,0,791,-2.4199999999999875,3.5900000000000034,2.7047389437203373,2.707692307692322,53.09226089895237,0.5531461431782532,-0.10675721167349572,67358.69081421226,130.20283606706414,0.06136671963906866,0.04579721329679387,1145.9599609375,16.93000030517578,2.707692307692322,9826568.0,-1.8115673026950718,7178209.0,-0.46089800773119194,7595995.0,-2.094541281113249,6911762.0,0.043504125258226445,-1049057.0,17620.286859183674,18045.623556000002,2818.7881673624265,0.30597065571297655,3.9693739506100374,466017904.0554243,72.08047391755817,267.6374937591915,-161939.33306891978,0.004769702690958333,0.0037403081371039093,19.270000457763672,7.969315102928249
2010-01-12,129.06,129.82,126.55,127.35,9091795,-2.2715064077967972,131.71714285714285,134.18766666666667,2.0108127571678756,4.8469392014254655,2010,1,12,1,792,-1.710000000000008,3.269999999999996,2.533705253370522,-2.4041342121030596,40.36827195467423,0.03565299996716931,0.035805594547246855,71392.18688653318,129.41884274885277,-1.7607331339039956,-0.3081096149487905,1143.81005859375,17.950000762939453,-2.4041342121030596,8777511.0,-1.7013232514177745,11014197.0,0.5899925317401022,8851066.0,-1.4433291816250304,4521967.0,0.018483981435808428,314284.0,17349.405722448977,18006.329885444447,1629.5973806065379,0.0012711364066589747,4.0433679443890735,367020053.1161474,4.540409545819011,269.82627198792386,-162167.8099793866,-0.001876071081917341,0.004769702690958333,16.93000030517578,8.043251028671477
2010-01-13,128.07,129.71,125.75,129.11,10723052,1.382018060463297,131.03285714285715,133.961,1.9361257688917224,4.860664754186628,2010,1,13,2,793,1.0400000000000205,3.960000000000008,3.092059030217856,-2.2715064077967972,42.011019283746585,-0.22979778744854684,0.1794207854444585,83053.61319804817,128.66274088129765,-0.8861046483584768,1.3333637670608312,1137.31005859375,17.940000534057617,-2.2715064077967972,9091795.0,2.707692307692322,9826568.0,-1.8115673026950718,7178209.0,-0.46089800773119194,7595995.0,-0.07468698827615317,1631257.0,17169.60965102041,17945.549521000004,1764.9257412593274,0.05280702311624751,3.748582992966563,450486344.3526174,-29.669192337481885,259.36534412650406,114781.59342643543,-0.005682761706075068,-0.001876071081917341,17.950000762939453,7.744503075566911
2010-01-14,129.18,130.38,126.4,127.35,9704287,-1.3631786848423921,129.9842857142857,133.58933333333334,1.9080551211459331,4.8469392014254655,2010,1,14,3,794,-1.8300000000000125,3.9799999999999898,3.080972286731684,1.382018060463297,27.372120265521303,-0.5755521332876583,-0.09500699987279737,76201.70396544955,127.89821853263008,-0.6606830162004721,0.11246448357037764,1145.6800537109375,18.15999984741211,1.382018060463297,10723052.0,-2.4041342121030596,8777511.0,-1.7013232514177745,11014197.0,0.5899925317401022,8851066.0,-0.028070647745789268,-1018765.0,16895.91453265306,17846.109980444446,749.232967830162,0.3312602581319744,3.6406743453312216,265626910.85513493,-73.29656417418329,254.8958115971378,-103876.53859437081,0.00735946636006779,-0.005682761706075068,17.940000534057617,7.6322204845837405
2010-01-15,129.35,129.65,127.06,127.14,15358332,-0.16489988221436436,129.25428571428571,133.08566666666667,1.8241307017994257,4.845288841508263,2010,1,15,4,795,-2.2099999999999937,2.5900000000000034,2.002319288751452,-1.3631786848423921,27.652859960552306,-0.8566354283662747,0.5826337370277692,120798.58423784804,127.04670235570036,0.1894437689024572,-0.09614612460282501,1147.719970703125,17.6299991607666,-1.3631786848423921,9704287.0,-2.2715064077967972,9091795.0,2.707692307692322,9826568.0,-1.8115673026950718,7178209.0,-0.0839244193465074,5654045.0,16706.670375510203,17711.79467211111,764.6806639979169,0.733824257132271,3.3274528172472655,424701804.0236692,-108.91262836248816,242.7656505361111,-19919.672312483115,0.001780529376923301,0.00735946636006779,18.15999984741211,7.296522807197675
